"filename", "language", "pip requirements", "Python", "TypeScript", "JavaScript", "TypeScript JSX", "comment", "blank", "total"
"d:\code\FANTASY\hooks\use-color-scheme.web.ts", "TypeScript", 0, 0, 13, 0, 0, 3, 6, 22
"d:\code\FANTASY\hooks\use-theme-color.ts", "TypeScript", 0, 0, 14, 0, 0, 4, 4, 22
"d:\code\FANTASY\logger_config.py", "Python", 0, 33, 0, 0, 0, 15, 13, 61
"d:\code\FANTASY\main.py", "Python", 0, 738, 0, 0, 0, 121, 186, 1045
"d:\code\FANTASY\models.py", "Python", 0, 99, 0, 0, 0, 4, 42, 145
"d:\code\FANTASY\requirements.txt", "pip requirements", 9, 0, 0, 0, 0, 0, 1, 10
"d:\code\FANTASY\round_processor.py", "Python", 0, 46, 0, 0, 0, 14, 20, 80
"d:\code\FANTASY\src\components\ErrorBoundary.tsx", "TypeScript JSX", 0, 0, 0, 0, 156, 7, 16, 179
"d:\code\FANTASY\src\context\AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 223, 12, 33, 268
"d:\code\FANTASY\src\context\GameContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 608, 46, 101, 755
"d:\code\FANTASY\src\screens\AdminScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 136, 1, 6, 143
"d:\code\FANTASY\src\screens\DashboardScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 603, 1, 34, 638
"d:\code\FANTASY\src\screens\HelpScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 445, 10, 36, 491
"d:\code\FANTASY\src\screens\HomeScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 342, 1, 15, 358
"d:\code\FANTASY\src\screens\LoginScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 294, 1, 24, 319
"d:\code\FANTASY\src\screens\MatchManagementScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 505, 12, 29, 546
"d:\code\FANTASY\src\screens\MyTeamScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 462, 10, 22, 494
"d:\code\FANTASY\src\screens\PlayerManagementScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 554, 9, 42, 605
"d:\code\FANTASY\src\screens\ProfileEditScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 426, 9, 26, 461
"d:\code\FANTASY\src\screens\RoundManagementScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 779, 12, 68, 859
"d:\code\FANTASY\src\screens\ScoreManagementScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 477, 6, 31, 514
"d:\code\FANTASY\src\screens\SettingsScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 923, 12, 68, 1003
"d:\code\FANTASY\src\screens\TeamSelectionScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 699, 17, 34, 750
"d:\code\FANTASY\src\services\api.ts", "TypeScript", 0, 0, 549, 0, 0, 54, 87, 690
"d:\code\FANTASY\src\types\index.ts", "TypeScript", 0, 0, 50, 0, 0, 0, 6, 56
"d:\code\FANTASY\src\utils\connectionTester.ts", "TypeScript", 0, 0, 135, 0, 0, 20, 19, 174
"d:\code\FANTASY\src\utils\errorHandler.ts", "TypeScript", 0, 0, 238, 0, 0, 47, 43, 328
"d:\code\FANTASY\src\utils\fileLogger.ts", "TypeScript", 0, 0, 171, 0, 0, 16, 42, 229
"d:\code\FANTASY\src\utils\retryHelper.ts", "TypeScript", 0, 0, 132, 0, 0, 28, 26, 186
"d:\code\FANTASY\src\utils\serverConfig.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 7, 43
"d:\code\FANTASY\src\utils\sounds.ts", "TypeScript", 0, 0, 120, 0, 0, 17, 21, 158
"Total", "-", 9, 2359, 1500, 8, 8252, 789, 1635, 14552
